"source_list","parent_audit_id","child_audit_id","old_result","verified_context","question_ids","sample_decision","claim"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-391C040372","A-OTHER-391C040372-01","誤検出","correct_explanation|wrong_explanation","214","誤分類候補","消毒法は、器具の種類、血液付着の有無、消毒薬の濃度及び作用時間を組み合わせて判断し、消毒前の洗浄や消毒後の保管も含めて管理する。薬品名、濃度又は時間の一つだけでは判断できないため、②が正しい。"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-7B473935E1","A-OTHER-7B473935E1-01","誤検出","wrong_choice|wrong_explanation","278","誤分類候補","陰イオン界面活性剤として洗浄と起泡を主に担う"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-7FA7851E83","A-OTHER-7FA7851E83-01","誤検出","non_question_or_unresolved","","判定維持","cosmetics-陰イオン界面活性剤"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-D8521AC19D","A-OTHER-D8521AC19D-01","誤検出","question|correct_explanation|wrong_explanation","497","誤分類候補","香粧品化学：非イオン界面活性剤"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-AD7C7A084C","A-OTHER-AD7C7A084C-01","誤検出","correct_explanation|wrong_explanation","492","誤分類候補","【香粧品化学：界面活性剤】"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-F84A441911","A-OTHER-F84A441911-03","誤検出","correct_explanation|wrong_explanation","495","誤分類候補","【香粧品化学：酸・アルカリ】"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-B4D97F5559","A-OTHER-B4D97F5559-01","誤検出","correct_explanation","556","誤分類候補","【理容技術理論：引き出し角度】"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-8B24F2D4BE","A-OTHER-8B24F2D4BE-07","誤検出","non_question_or_unresolved","","判定維持","（試験の課目）"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-CF767AC924","A-OTHER-CF767AC924-01","誤検出","question|wrong_choice|wrong_explanation|correct_choice|correct_explanation","58|59|153|181|186|190|191|211|213|440","誤分類候補","消毒方法"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-762412B47E","A-OTHER-762412B47E-01","誤検出","non_question_or_unresolved","","判定維持","消毒液の適正管理"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-9C2E968791","A-OTHER-9C2E968791-01","誤検出","non_question_or_unresolved","","判定維持","消毒済器具を携行"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-C33277C8E6","A-OTHER-C33277C8E6-01","誤検出","non_question_or_unresolved","","判定維持","汚染場所の消毒措置"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-E3CA60A515","A-OTHER-E3CA60A515-01","誤検出","non_question_or_unresolved","","判定維持","消毒は皮膚に接する器具が対象"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-CF8DB61F6A","A-OTHER-CF8DB61F6A-01","誤検出","non_question_or_unresolved","","判定維持","第二十六条　消毒液等"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-2CD8B00767","A-OTHER-2CD8B00767-01","誤検出","non_question_or_unresolved","","判定維持","手洗い用の石けん・消毒液等を携行"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-FD4ABCEDFC","A-OTHER-FD4ABCEDFC-01","誤検出","non_question_or_unresolved","","判定維持","器具は使用前の清潔性と使用後の洗浄・消毒を区別"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-AFEBD49F5B","A-OTHER-AFEBD49F5B-01","誤検出","non_question_or_unresolved","","判定維持","都道府県知事が消毒を命令可能"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-5D7A2FE9CE","A-OTHER-5D7A2FE9CE-01","誤検出","non_question_or_unresolved","","判定維持","最重要条文はこちら → 消毒方法"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-086AC43004","A-OTHER-086AC43004-01","誤検出","non_question_or_unresolved","","判定維持","重要条文はこちら → 第二十五条　消毒の方法"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-FB514E1841","A-OTHER-FB514E1841-01","誤検出","non_question_or_unresolved","","判定維持","重要条文はこちら → 出張時の消毒"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-A7C4DB4789","A-OTHER-A7C4DB4789-01","誤検出","non_question_or_unresolved","","判定維持","重要条文はこちら → 汚染場所の消毒"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-9699668AA6","A-OTHER-9699668AA6-01","誤検出","non_question_or_unresolved","","判定維持","消毒すれば洗浄は不要、は誤り"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-83B46F841B","A-OTHER-83B46F841B-01","誤検出","non_question_or_unresolved","","判定維持","滅菌"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-060190CA7C","A-OTHER-060190CA7C-01","誤検出","non_question_or_unresolved","","判定維持","消毒時間"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-80C4293D22","A-OTHER-80C4293D22-01","誤検出","correct_choice|correct_explanation|wrong_explanation|question|wrong_choice","190|197|213|278|280|281|282|285|286|287|290|426|428|429|430|437|492|495|496|497","誤分類候補","界面活性剤"
