"content_id","question_or_title","all_choices","correct_answer_number","explanation_or_body","recorded_source","recorded_url","related_child_ids"
"183","営業者又は衛生管理責任者が作成・周知すべきものとして、正しいものはどれか。","1.出張先の設備条件及び作業環境を記録し、器具の取扱いは従業者が出張先ごとに決定する手順書 | 2.器具の取扱い、消毒及び携行品の管理に関する手順書を作成し、作業環境の管理は出張先の施設管理者に委ねる | 3.出張理容・出張美容に係る具体的な衛生管理要領 | 4.利用者の要望に応じた衛生管理要領を作成し、内容は衛生管理責任者へ周知する","3","・根拠：第7の2
・判断基準：衛生管理要領第7の2は、営業者又は衛生管理責任者が、出張理容・出張美容に係る具体的な衛生管理要領を作成し、従業員に周知徹底することとしている。したがって 具体的な衛生管理要領は、作業環境、器具、携行品等を含めて作成し、従業者へ周知徹底する。出張先や利用者の判断に委ねるものではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","A-OTHER-A11498B27E-01"
"190","血液が付着している疑いのない器具の消毒方法として、正しいものはどれか。","1.血液付着の疑いがなければ、洗剤で十分に洗浄した器具は消毒を省略できる | 2.血液付着器具等の方法に加え、紫外線照射、蒸気、逆性石けん、グルコン酸クロルヘキシジン、両性界面活性剤などの方法も用いられる | 3.血液付着の疑いがない器具は、紫外線照射又は蒸気による方法だけが認められ、薬液は用いない | 4.血液付着の疑いがない器具は薬液消毒だけを用い、煮沸や蒸気による方法は対象外である","2","血液付着の疑いがない器具には、血液付着器具に用いる方法のほか、紫外線、蒸気、逆性石けん、グルコン酸クロルヘキシジン、両性界面活性剤等による方法も認められる。したがって②が正しい。","厚生労働省「理容所及び美容所における衛生管理要領」","https://www.mhlw.go.jp/web/t_doc?dataId=00ta5155&dataType=1&pageNo=1","A-OTHER-3815D6C328-01"
"205","血液が付着したタオル等の取扱いとして、適切なものはどれか。","1.廃棄するか、血液が付着している器具と同様の洗浄及び消毒を行う | 2.血液部分を水洗いした後、他の使用済みタオルと同じ方法だけで処理する | 3.血液部分に消毒液を噴霧し、洗浄せず乾燥させて再使用する | 4.通常どおり洗濯した後、消毒前の清潔なタオルと同じ場所に保管する","1","血液が付着したタオル等は、廃棄するか、血液が付着している器具と同様の洗浄及び消毒を行う。乾燥や水洗いだけでは不十分で、清潔なタオルとも区別するため、①が正しい。","厚生労働省「理容所及び美容所における衛生管理要領」","https://www.mhlw.go.jp/web/t_doc?dataId=00ta5155&dataType=1&pageNo=1","A-OTHER-4522A6BBCF-01"
"214","理容師国家試験で消毒法を判断する際、最も適切な考え方はどれか。","1.消毒薬の名称と濃度が合っていれば、対象器具や作用時間は問わない | 2.器具の種類、血液付着の有無、消毒薬の濃度、作用時間を組み合わせて判断する | 3.対象器具と作用時間が合っていれば、消毒薬の濃度は製品ごとの目安でよい | 4.消毒薬の濃度と作用時間が合っていれば、消毒前の十分な洗浄は省略できる","2","消毒法は、器具の種類、血液付着の有無、消毒薬の濃度及び作用時間を組み合わせて判断し、消毒前の洗浄や消毒後の保管も含めて管理する。薬品名、濃度又は時間の一つだけでは判断できないため、②が正しい。","厚生労働省「理容所及び美容所における衛生管理要領」","https://www.mhlw.go.jp/web/t_doc?dataId=00ta5155&dataType=1&pageNo=1","A-OTHER-CE1BCC49E7-01|A-OTHER-6FB3B4E30A-01|A-OTHER-E68D79862E-01"
"215","公衆衛生の考え方として、最も適切なものはどれか。","1.病気になった人を病院で治療することだけをいう | 2.理容所内の器具消毒だけをいう | 3.個人だけでなく、地域社会全体の健康の保持・増進を図る活動である | 4.美容目的のサービスを増やすことを主な目的とする","3","公衆衛生は、個人だけでなく集団や地域社会を対象に、疾病予防、健康の保持・増進、生活環境の改善などを図る活動である。医療機関での治療や理容器具の消毒だけに限定されないため、③が正しい。","","","A-OTHER-46D61FB8D2-01|A-OTHER-99AB1D210B-01|A-OTHER-7B331F4AC5-01"
"227","感染症予防の基本として、正しいものはどれか。","1.感染源への対策を行えば、感染経路と感受性宿主への対策は省略できる | 2.環境消毒を行えば、換気や手指衛生などの感染経路対策は省略できる | 3.感染源、感染経路、感受性宿主の三要因を踏まえて対策する | 4.症状のある人だけを感染源とみなし、無症状者への対策は行わない","3","感染症予防では、感染源、感染経路、感受性宿主の三要因を把握し、それぞれに対する対策を組み合わせる。消毒だけで換気や手洗いを代替することはできないため、③が正しい。","","","A-OTHER-82F94E5623-01|A-OTHER-978623DFE1-01|A-OTHER-AA60B39CF8-01"
"235","温熱環境の要素として、適切な組合せはどれか。","1.気温、湿度、二酸化炭素濃度、照度 | 2.気温、騒音、浮遊粉じん、照度 | 3.気温、湿度、気流、ふく射熱 | 4.気温、湿度、水質、照度","3","温熱環境は、気温、湿度、気流、ふく射熱などの要素により評価される。身体計測、人口動態、消毒工程を示す組合せではないため、③が正しい。","","","A-OTHER-1A864DFF31-01|A-OTHER-28BD6ED7B0-01|A-OTHER-FE91110960-01"
"281","ワセリンについて、正しいものはどれか。","1.皮膚表面を保護し、水分蒸散を抑える油性成分である | 2.吸湿性によって角質層へ水分を引き寄せる水溶性の多価アルコールである | 3.親水基と親油基をもち、水相と油相を乳化する界面活性剤である | 4.油脂の酸化による変臭を抑える酸化防止剤である","1","ワセリンは炭化水素系の油性成分で、皮膚表面の保護や水分蒸散の抑制に用いられる。グリセリン、界面活性剤又は酸化防止剤ではないため、①が正しい。","医薬品医療機器等法・化粧品基準","https://laws.e-gov.go.jp/law/335AC0000000145","A-OTHER-7B9221FBB0-01"
"347","予約管理として、適切なものはどれか。","1.施術時間だけを基準に予約枠を設定し、準備や消毒は予約の合間に行う | 2.担当者が覚えられる件数であれば、予約変更を記録に反映しなくてよい | 3.施術時間、担当者、準備時間を考慮して無理のない予約を組む | 4.遅れが見込まれる場合は、予定時刻を過ぎてから顧客へ説明する","3","予約管理では、施術時間、担当者、準備、消毒、片付け等に必要な時間を見込み、無理のない予定を組む。記録や遅延時の説明も必要なため、③が正しい。","","","A-OTHER-00B30E5502-01|A-OTHER-B20F862945-01|A-OTHER-BF9106596C-01|A-OTHER-13E9978E26-01"
"387","カッティング用具の扱いとして、最も適切なものはどれか。","1.目に見える毛髪だけを乾いた布で除去すれば、次の顧客にも使用できる | 2.床に落とした用具は汚れが付着していなければ、消毒せず作業へ戻せる | 3.使用後は毛髪を除去し、必要な洗浄・消毒・保管を行う | 4.使用後に水洗いして乾燥させれば、器具の種類に応じた消毒は省略できる","3","カッティング用具は、使用後に毛髪や汚れを除去し、器具に応じた洗浄、消毒、乾燥、保管を行う。外観だけで清潔とは判断できないため、③が正しい。","","","A-OTHER-20C6F66CAD-01|A-OTHER-F199C6E7C5-01|A-OTHER-0244E765A6-01"
"398","シェービングに用いる刃物類の扱いとして、最も適切なものはどれか。","1.目に見える毛髪を除去すれば、同じ営業日の複数の顧客に続けて使用できる | 2.使用前後に衛生状態を確認し、必要な消毒又は交換を行う | 3.刃物を流水で洗い流して乾燥させれば、器具に応じた消毒は省略できる | 4.切れ味が低下した刃は、刃角を寝かせて刃圧を高めれば交換せず使用できる","2","シェービング用の刃物は血液や体液へ触れる可能性があるため、使用前後に衛生状態を確認し、器具に応じた消毒又は刃の交換を行う。水濡らしだけでは消毒にならないため、②が正しい。","","","A-OTHER-F9D3B5F9A0-01|A-OTHER-0CAFE37121-01|A-OTHER-04E6194D10-01"
"419","シェービング後の皮膚処置として、最も適切なものはどれか。","1.発赤の有無にかかわらず、収れん作用の強い薬剤を同じ量だけ塗布する | 2.施術前に異常がなければ、施術後の発赤は一時的なものとして観察を省略する | 3.皮膚状態に応じて、鎮静・保湿などの処置を行う | 4.施術後に皮膚を消毒すれば、血液に触れていない器具の消毒は省略できる","3","シェービング後の皮膚は刺激を受けやすいため、発赤、傷、乾燥等を確認し、状態に応じて鎮静や保湿等の処置を行う。器具消毒の代わりにはならないため、③が正しい。","","","A-OTHER-6F64548552-01|A-OTHER-4225B3818E-01|A-OTHER-F37433A405-01|A-OTHER-8092EA82FB-01"
"198","希釈して用いる消毒液の管理として、適切なものはどれか。","1.見た目が透明なら何週間も使い続けてよい | 2.汚れや濃度低下に注意し、原則として毎日取り替える | 3.濃度が分からないまま水で薄めて使用する | 4.複数の消毒薬を混ぜれば効果が必ず高まる","2","希釈して用いる消毒液は、汚れや濃度低下に注意し、原則として毎日取り替える。外観だけで継続使用を判断したり、濃度不明のまま希釈したり、薬剤を混合したりしてはならないため、②が正しい。","厚生労働省「理容所及び美容所における衛生管理要領」","https://www.mhlw.go.jp/web/t_doc?dataId=00ta5155&dataType=1&pageNo=1","A-OTHER-59056EE111-01"
"199","エタノール消毒液の管理として、適切なものはどれか。","1.容器を開けたままにして蒸発させるほど効果が高まる | 2.水を多く加えても消毒用エタノールと同じ効果がある | 3.蒸発や汚れに注意し、濃度が保たれるよう管理する | 4.汚れた綿を何度も戻して使用する","3","エタノール消毒液は、蒸発や汚れによって濃度や消毒効果が変化するため、適正な濃度が保たれるよう管理する。したがって③が正しい。","厚生労働省「理容所及び美容所における衛生管理要領」","https://www.mhlw.go.jp/web/t_doc?dataId=00ta5155&dataType=1&pageNo=1","A-OTHER-AC23D70EA6-01"
"201","かみそりの消毒について、正しいものはどれか。","1.頭髪の切断だけに用いるものを除き、血液付着器具と同じ区分の方法で消毒する | 2.血液の付着が目視できない場合は、紫外線照射だけで消毒できる | 3.替刃式では、使用後に刃を交換すればホルダーは水洗いだけでよい | 4.同じ客に続けて使用する場合は、作業の途中で刃が皮膚に触れても消毒を要しない","1","頭髪の切断だけに用いるものを除くかみそりは、血液付着の有無にかかわらず、煮沸、規定濃度のエタノール又は次亜塩素酸ナトリウムによる区分で消毒する。替刃式でもホルダーの洗浄及び消毒は必要であるため、①が正しい。","厚生労働省「理容所及び美容所における衛生管理要領」","https://www.mhlw.go.jp/web/t_doc?dataId=00ta5155&dataType=1&pageNo=1","A-OTHER-8CD248010A-01"
"443","消毒法に関する次の文の空欄A及びBに入る記述の組合せとして、正しいものはどれか。

A：衛生管理要領
B：理容師法施行規則第25条、衛生管理要領","1.【観点1】薬液消毒後の器具は必要に応じて流水で洗い、乾燥させ、再汚染しないよう保管する。
【観点2】消毒薬の濃度と作用時間が合っていれば、消毒前の十分な洗浄は省略できる。 | 2.【観点1】使用済みのタオル等は、完全に乾燥させれば消毒せず再使用できる。
【観点2】器具の種類、血液付着の有無、消毒薬の濃度、作用時間を組み合わせて判断する。 | 3.【観点1】薬液消毒後の器具は必要に応じて流水で洗い、乾燥させ、再汚染しないよう保管する。
【観点2】器具の種類、血液付着の有無、消毒薬の濃度、作用時間を組み合わせて判断する。 | 4.【観点1】使用済みのタオル等は、完全に乾燥させれば消毒せず再使用できる。
【観点2】消毒薬の濃度と作用時間が合っていれば、消毒前の十分な洗浄は省略できる。","3","【衛生管理要領】
・薬液消毒後の器具は必要に応じて流水で洗い、乾燥させ、再汚染しないよう保管する。 【理容師法施行規則第25条、衛生管理要領】
・器具の種類、血液付着の有無、消毒薬の濃度、作用時間を組み合わせて判断する。 対象、条件、作用又は手順を取り違えないように整理する。","厚生労働省「理容所及び美容所における衛生管理要領」","https://www.mhlw.go.jp/web/t_doc?dataId=00ta5155&dataType=1&pageNo=1","A-OTHER-ADDAD39350-01|A-OTHER-23B8F83C3D-01"
"492","香粧品成分の「香粧品化学：界面活性剤」と「香粧品化学：着色剤」に関する次の記述のうち、いずれの内容も正しいものはどれか。","1.【観点1】乳化とは、水相と油相の一方を他方へ細かく分散させ、安定な状態に近づけることである。
【観点2】製品中の微生物増殖を抑えることを主目的に用いられる。 | 2.【観点1】界面活性剤は酸化作用によって毛髪中のメラニンを分解することを主目的とする。
【観点2】製品や皮膚・毛髪に色を与える目的で用いられることがある。 | 3.【観点1】界面活性剤は酸化作用によって毛髪中のメラニンを分解することを主目的とする。
【観点2】製品中の微生物増殖を抑えることを主目的に用いられる。 | 4.【観点1】乳化とは、水相と油相の一方を他方へ細かく分散させ、安定な状態に近づけることである。
【観点2】製品や皮膚・毛髪に色を与える目的で用いられることがある。","4","【香粧品化学：界面活性剤】
・乳化とは、水相と油相の一方を他方へ細かく分散させ、安定な状態に近づけることである。 【香粧品化学：着色剤】
・製品や皮膚・毛髪に色を与える目的で用いられることがある。 対象、条件、作用又は手順を取り違えないように整理する。","医薬品医療機器等法・化粧品基準","https://laws.e-gov.go.jp/law/335AC0000000145","A-OTHER-EFB1BB0ADE-01|A-OTHER-ADE64977B3-01"
"495","香粧品成分の「香粧品化学：陰イオン界面活性剤」と「香粧品化学：酸・アルカリ」に関する次の記述のうち、いずれの内容も正しいものはどれか。","1.【観点1】陰イオン界面活性剤は、洗浄力や泡立ちに関係し、シャンプー等に用いられる。
【観点2】水溶液中の溶質の質量百分率を示す指標である。 | 2.【観点1】陽イオン界面活性剤はシャンプーの主洗浄成分として用いられ、毛髪への吸着性をもたない。
【観点2】水溶液の酸性・中性・アルカリ性の程度を示す指標である。 | 3.【観点1】陰イオン界面活性剤は、洗浄力や泡立ちに関係し、シャンプー等に用いられる。
【観点2】水溶液の酸性・中性・アルカリ性の程度を示す指標である。 | 4.【観点1】陽イオン界面活性剤はシャンプーの主洗浄成分として用いられ、毛髪への吸着性をもたない。
【観点2】水溶液中の溶質の質量百分率を示す指標である。","3","【香粧品化学：陰イオン界面活性剤】
・陰イオン界面活性剤は、洗浄力や泡立ちに関係し、シャンプー等に用いられる。 【香粧品化学：酸・アルカリ】
・水溶液の酸性・中性・アルカリ性の程度を示す指標である。 対象、条件、作用又は手順を取り違えないように整理する。","医薬品医療機器等法・化粧品基準","https://laws.e-gov.go.jp/law/335AC0000000145","A-OTHER-3702D4CA68-01|A-OTHER-69D3EA1470-01|A-OTHER-196566A8E3-01|A-OTHER-470C11BFAD-01"
"296","ペーハーについて、正しいものはどれか。","1.水溶液中の溶質の質量百分率を示す指標である | 2.水溶液の粘度を0から14の範囲で示す指標である | 3.水溶液の酸化還元力だけを0から14の範囲で示す指標である | 4.水溶液の酸性・中性・アルカリ性の程度を示す指標である","4","ペーハーは、水溶液の酸性・中性・アルカリ性の程度を示す指標である。質量百分率、粘度又は酸化還元力そのものを示す指標ではないため、④が正しい。","医薬品医療機器等法・化粧品基準","https://laws.e-gov.go.jp/law/335AC0000000145","A-OTHER-D8393ACB6C-01"
"","業務停止","","","理容師法 第十条。衛生措置違反等では、期間を定めて業務停止となる場合がある。","","","A-OTHER-F51E8290DC-01"
"","第4　管理","","","第4 管理 1 作業環境の管理 (1) 作業場内には、みだりに犬（身体障害者補助犬を除く。）、猫等の動物 を入れないこと。 (2) 作業終了後は、作業場の清掃を十分行い、清潔にすること。 2 携行品等の管理 (1) 洗浄及び消毒済みの器具類等は、使用済みのものと区別して、収納 ケース等に保管すること。 (2) 使用済みのかみそり（頭髪のカットのみの用途（レーザーカット）に 使用するかみそりを除く。以下同じ。）及びかみそり以外の器具で、血 液の付着しているもの又はその疑いのあるものは、それ以外の使用済み の器具と区別して、丈夫な容器に保管し、適切な処置を行うこと。取扱 いの際は、器具の突き刺し事故に注意すること。 3 従業者の管理 営業者は、常に従業者の健康管理に注意し、従業者が感染症、感染性の 皮膚疾患にかかったときは、当該従業者を作業に従事させないこと。","","","A-OTHER-CC46FFAEA5-02|A-OTHER-0284098FC1-03|A-OTHER-0284098FC1-05"
"","第5　消毒","","","第5 衛生的取扱い等 1 作業室には、施術中の客及び介助者以外の者をみだりに出入りさせない こと。 2 作業中、従業者は清潔な外衣(白色又はこれに近い色で汚れが目立ちやす いもの)を着用し、顔面作業時には清潔なマスクを着用すること。 3 従業者は、常につめを短く切り、客1人ごとの作業前及び作業後には手 指の洗浄を行い、必要に応じて消毒を行うこと。 4 作業場においては、喫煙及び食事をしないこと。 5 皮膚に接する器具類は、客1 人ごとに消毒した清潔なものを使用するこ と。 6 皮膚に接する器具類は、使用後に洗浄し、消毒すること。 7 皮膚に接する布片類は、清潔なものを使用し、客1人ごとに取り替える こと。 8 使用後の布片類は、他のものと区別して収納すること。帰宅後、洗剤等 を使用して温湯で洗浄することが望ましいこと。 9 蒸しタオルは消毒済みのものを使用すること。 10 客用の被布は、使用目的に応じて区別し、清潔なものを使用すること。 11 作業に伴って生ずる毛髪等の廃棄物は、客1人ごとに清掃すること。 12 毛髪等の廃棄物は、ふた付きの専用容器や丈夫な袋などに入れ、適正に 処理すること。 13 皮膚に接しない器具であっても汚れやすいものは、客1人ごとに取り替 え又は洗浄し、常に清潔にすること。 14 感染症、感染性の皮膚疾患の患者又はその疑いのある者を扱う場合には、 マスク、手袋等予め防護措置をとること。また、このような者を扱ったと きは、作業終了後、従業者の手指及び使用した器具等の消毒を特に厳重に 行うこと。器具等の消毒については、感染症法に基づく消毒・滅菌の手引 き（平成16年1月30日健感発第0130001号厚生労働省健康局結 核感染症課長通知）等を参考にすること。 15 パーマネントウエーブ用剤、染毛剤等の使用に当たっては、医薬部外品 及び化粧品として、薬事法による承認を受けたものを適正に使用し、その 安全衛生に十分留意すること。また、使用によってアンモニア等のガスが 発生する場合には、特に排気に留意すること。","","","A-OTHER-1E0F4F43D9-02"
